Date,Product,Sales,Unit_Price,Revenue,Month,Year
2024-08-01,Product 5,367,22.36,8206.06,8,2024
2024-09-01,Product 5,432,25.23,10898.21,9,2024
2024-10-01,Product 5,164,21.11,3461.86,10,2024
2024-11-01,Product 5,328,20.31,6663.09,11,2024
2024-12-01,Product 5,380,24.75,9406.41,12,2024
2024-01-01,Product 6,245,26.96,6604.01,1,2024
2024-02-01,Product 6,380,24.1,9159.46,2,2024
2024-03-01,Product 6,320,22.03,7049.8,3,2024
2024-04-01,Product 6,162,20.77,3364.71,4,2024
2024-05-01,Product 6,336,26.95,9054.48,5,2024
2024-06-01,Product 6,433,29.3,12685.59,6,2024
2024-07-01,Product 6,194,22.96,4453.53,7,2024
2024-08-01,Product 6,283,24.57,6951.99,8,2024
2024-09-01,Product 6,257,21.87,5619.49,9,2024
2024-10-01,Product 6,435,28.83,12542.27,10,2024
2024-11-01,Product 6,277,28.07,7776.61,11,2024
2024-12-01,Product 6,497,23.56,11710.8,12,2024
2024-01-01,Product 7,339,21.1,7153.08,1,2024
2024-02-01,Product 7,432,24.27,10485.11,2,2024
2024-03-01,Product 7,265,23.53,6234.31,3,2024
2024-04-01,Product 7,408,20.07,8188.36,4,2024
2024-05-01,Product 7,286,24.85,7106.61,5,2024
2024-06-01,Product 7,374,21.2,7928.3,6,2024
2024-07-01,Product 7,321,22.44,7203.64,7,2024
2024-08-01,Product 7,464,23.23,10779.66,8,2024
2024-09-01,Product 7,245,25.58,6267.35,9,2024
2024-10-01,Product 7,329,23.64,7776.34,10,2024
2024-11-01,Product 7,201,22.47,4516.22,11,2024
2024-12-01,Product 7,444,24.97,11087.78,12,2024
2024-01-01,Product 8,262,21.48,5627.99,1,2024
2024-02-01,Product 8,230,22.67,5213.6,2,2024
2024-03-01,Product 8,151,25.03,3779.05,3,2024
2024-04-01,Product 8,203,20.33,4127.09,4,2024
2024-05-01,Product 8,373,29.08,10847.83,5,2024
2024-06-01,Product 8,275,21.45,5898.46,6,2024
2024-07-01,Product 8,321,24.48,7857.38,7,2024
2024-08-01,Product 8,347,22.42,7779.93,8,2024
2024-09-01,Product 8,473,20.81,9842.44,9,2024
2024-10-01,Product 8,333,22.38,7451.33,10,2024
2024-11-01,Product 8,404,28.03,11324.68,11,2024
2024-12-01,Product 8,474,26.32,12477.13,12,2024
2024-01-01,Product 9,347,23.99,8323.92,1,2024
2024-02-01,Product 9,389,27.98,10885.56,2,2024
2024-03-01,Product 9,350,23.21,8122.73,3,2024
2024-04-01,Product 9,475,26.96,12805.11,4,2024
2024-05-01,Product 9,408,25.91,10570.84,5,2024
2024-06-01,Product 9,495,25.12,12434.86,6,2024
2024-07-01,Product 9,296,23.49,6952.05,7,2024
2024-08-01,Product 9,348,21.74,7566.8,8,2024
2024-09-01,Product 9,277,25.18,6974.17,9,2024
2024-10-01,Product 9,278,26.76,7438.42,10,2024
2024-11-01,Product 9,300,25.41,7624.34,11,2024
2024-12-01,Product 9,447,22.58,10093.0,12,2024
2024-01-01,Product 10,401,21.75,8721.57,1,2024
2024-02-01,Product 10,261,25.55,6669.07,2,2024
2024-03-01,Product 10,209,22.61,4725.13,3,2024
2024-04-01,Product 10,453,29.65,13433.35,4,2024
2024-05-01,Product 10,186,28.83,5361.7,5,2024
2024-06-01,Product 10,158,22.79,3600.62,6,2024
2024-07-01,Product 10,296,27.26,8068.83,7,2024
2024-08-01,Product 10,280,28.56,7997.71,8,2024
2024-09-01,Product 10,203,27.8,5643.15,9,2024
2024-10-01,Product 10,265,20.84,5522.97,10,2024
2024-11-01,Product 10,253,26.06,6594.27,11,2024
2024-12-01,Product 10,376,23.72,8919.78,12,2024
2024-01-01,Product 11,248,29.74,7374.69,1,2024
2024-02-01,Product 11,487,24.86,12104.94,2,2024
2024-03-01,Product 11,312,26.52,8274.12,3,2024
2024-04-01,Product 11,318,21.76,6919.44,4,2024
2024-05-01,Product 11,217,22.37,4854.83,5,2024
2024-06-01,Product 11,426,21.79,9281.78,6,2024
2024-07-01,Product 11,284,27.21,7727.47,7,2024
2024-08-01,Product 11,277,25.68,7114.21,8,2024
2024-09-01,Product 11,171,22.44,3837.22,9,2024
2024-10-01,Product 11,187,29.79,5570.53,10,2024
2024-11-01,Product 11,200,28.92,5784.09,11,2024
2024-12-01,Product 11,432,24.34,10516.58,12,2024
2024-01-01,Product 12,426,25.03,10661.23,1,2024
2024-02-01,Product 12,433,26.69,11556.44,2,2024
2024-03-01,Product 12,466,24.99,11646.24,3,2024
2024-04-01,Product 12,153,20.24,3097.2,4,2024
2024-05-01,Product 12,198,20.44,4046.34,5,2024
2024-06-01,Product 12,321,29.4,9438.87,6,2024
2024-07-01,Product 12,195,29.15,5683.99,7,2024
2024-08-01,Product 12,248,27.48,6814.34,8,2024
2024-09-01,Product 12,186,29.28,5446.67,9,2024
2024-10-01,Product 12,451,29.67,13379.61,10,2024
2024-11-01,Product 12,248,29.8,7391.22,11,2024
2024-12-01,Product 12,265,22.94,6080.29,12,2024
2024-01-01,Product 13,310,23.17,7182.46,1,2024
2024-02-01,Product 13,277,23.73,6572.34,2,2024
2024-03-01,Product 13,372,28.44,10580.47,3,2024
2024-04-01,Product 13,472,25.7,12130.69,4,2024
2024-05-01,Product 13,429,22.09,9476.26,5,2024
2024-06-01,Product 13,491,23.59,11580.96,6,2024
2024-07-01,Product 13,276,25.18,6950.59,7,2024
2024-08-01,Product 13,422,28.49,12021.39,8,2024
2024-09-01,Product 13,448,27.09,12135.92,9,2024
2024-10-01,Product 13,188,22.94,4311.95,10,2024
2024-11-01,Product 13,396,24.2,9582.33,11,2024
2024-12-01,Product 13,455,28.67,13045.18,12,2024
2024-01-01,Product 14,162,20.82,3372.18,1,2024
2024-02-01,Product 14,462,26.28,12140.87,2,2024
2024-03-01,Product 14,169,26.5,4478.44,3,2024
2024-04-01,Product 14,291,28.9,8409.92,4,2024
2024-05-01,Product 14,292,23.76,6936.7,5,2024
2024-06-01,Product 14,471,24.38,11485.21,6,2024
2024-07-01,Product 14,491,23.28,11431.23,7,2024
2024-08-01,Product 14,335,25.43,8517.86,8,2024
2024-09-01,Product 14,274,28.39,7778.68,9,2024
2024-10-01,Product 14,207,20.31,4203.14,10,2024
2024-11-01,Product 14,329,20.39,6707.77,11,2024
2024-12-01,Product 14,420,23.6,9912.8,12,2024
2024-01-01,Product 15,250,25.22,6305.61,1,2024
2024-02-01,Product 15,202,22.72,4588.52,2,2024
2024-03-01,Product 15,257,26.23,6740.83,3,2024
2024-04-01,Product 15,345,28.42,9804.98,4,2024
2024-05-01,Product 15,499,25.41,12677.77,5,2024
2024-06-01,Product 15,460,21.38,9836.42,6,2024
2024-07-01,Product 15,293,29.76,8719.25,7,2024
2024-08-01,Product 15,273,27.15,7410.84,8,2024
2024-09-01,Product 15,296,27.95,8273.75,9,2024
2024-10-01,Product 15,468,24.34,11388.88,10,2024
2024-11-01,Product 15,207,20.78,4302.4,11,2024
2024-12-01,Product 15,378,21.84,8256.78,12,2024
2024-01-01,Product 16,467,28.36,13244.03,1,2024
2024-02-01,Product 16,278,21.73,6041.76,2,2024
2024-03-01,Product 16,150,24.42,3663.53,3,2024
2024-04-01,Product 16,245,25.49,6245.61,4,2024
2024-05-01,Product 16,197,21.83,4300.25,5,2024
2024-06-01,Product 16,386,22.8,8800.54,6,2024
2024-07-01,Product 16,421,25.17,10595.29,7,2024
2024-08-01,Product 16,341,25.54,8710.35,8,2024
2024-09-01,Product 16,427,27.3,11657.27,9,2024
2024-10-01,Product 16,225,25.66,5773.58,10,2024
2024-11-01,Product 16,235,20.14,4733.82,11,2024
2024-12-01,Product 16,369,20.46,7549.75,12,2024
2024-01-01,Product 17,243,28.55,6938.77,1,2024
2024-02-01,Product 17,353,20.17,7120.58,2,2024
2024-03-01,Product 17,490,24.73,12120.01,3,2024
2024-04-01,Product 17,438,24.65,10795.27,4,2024
2024-05-01,Product 17,172,20.48,3522.66,5,2024
2024-06-01,Product 17,395,26.35,10408.62,6,2024
2024-07-01,Product 17,439,22.61,9925.32,7,2024
2024-08-01,Product 17,399,29.33,11704.41,8,2024
2024-09-01,Product 17,245,28.56,6998.4,9,2024
2024-10-01,Product 17,474,26.84,12721.99,10,2024
2024-11-01,Product 17,165,20.71,3416.44,11,2024
2024-12-01,Product 17,396,29.44,11659.24,12,2024
2024-01-01,Product 18,309,29.4,9085.31,1,2024
2024-02-01,Product 18,301,26.77,8058.28,2,2024
2024-03-01,Product 18,312,26.43,8247.06,3,2024
2024-04-01,Product 18,328,28.21,9251.7,4,2024
2024-05-01,Product 18,417,23.86,9950.05,5,2024
2024-06-01,Product 18,317,29.05,9209.96,6,2024
2024-07-01,Product 18,193,22.74,4388.74,7,2024
2024-08-01,Product 18,161,21.01,3382.25,8,2024
2024-09-01,Product 18,402,20.94,8419.66,9,2024
2024-10-01,Product 18,184,23.37,4299.26,10,2024
2024-11-01,Product 18,239,23.19,5542.35,11,2024
2024-12-01,Product 18,239,23.41,5594.09,12,2024
2024-01-01,Product 19,264,22.82,6024.1,1,2024
2024-02-01,Product 19,345,26.93,9290.47,2,2024
2024-03-01,Product 19,263,26.29,6914.12,3,2024
2024-04-01,Product 19,366,28.03,10260.74,4,2024
2024-05-01,Product 19,398,25.48,10140.93,5,2024
2024-06-01,Product 19,341,25.76,8783.9,6,2024
2024-07-01,Product 19,248,24.13,5983.29,7,2024
2024-08-01,Product 19,245,23.41,5734.97,8,2024
2024-09-01,Product 19,339,25.62,8684.73,9,2024
2024-10-01,Product 19,417,24.29,10128.91,10,2024
2024-11-01,Product 19,162,27.4,4438.65,11,2024
2024-12-01,Product 19,435,29.03,12626.11,12,2024
2024-01-01,Product 20,211,24.97,5267.74,1,2024
2024-02-01,Product 20,366,23.2,8491.38,2,2024
2024-03-01,Product 20,336,21.0,7055.95,3,2024
2024-04-01,Product 20,249,20.11,5006.99,4,2024
2024-05-01,Product 20,382,28.47,10876.09,5,2024
2024-06-01,Product 20,414,23.19,9601.96,6,2024
2024-07-01,Product 20,355,26.77,9502.53,7,2024
2024-08-01,Product 20,201,25.73,5172.61,8,2024
2024-09-01,Product 20,293,24.48,7173.95,9,2024
2024-10-01,Product 20,248,26.02,6454.05,10,2024
2024-11-01,Product 20,202,27.92,5638.99,11,2024
2024-12-01,Product 20,206,21.13,4353.74,12,2024
2024-01-01,Product 21,330,24.94,8231.59,1,2024
2024-02-01,Product 21,372,20.56,7647.84,2,2024
2024-03-01,Product 21,312,28.88,9009.64,3,2024
2024-04-01,Product 21,384,27.06,10390.39,4,2024
2024-05-01,Product 21,388,21.43,8314.81,5,2024
2024-06-01,Product 21,223,28.37,6326.43,6,2024
2024-07-01,Product 21,402,28.38,11410.69,7,2024
2024-08-01,Product 21,323,27.01,8724.13,8,2024
2024-09-01,Product 21,319,23.97,7645.32,9,2024
2024-10-01,Product 21,432,27.06,11690.97,10,2024
2024-11-01,Product 21,154,25.13,3870.52,11,2024
2024-12-01,Product 21,488,25.81,12596.77,12,2024
2024-01-01,Product 22,470,28.8,13537.69,1,2024
2024-02-01,Product 22,294,29.47,8664.91,2,2024
2024-03-01,Product 22,366,25.92,9486.31,3,2024
2024-04-01,Product 22,441,23.76,10479.3,4,2024
2024-05-01,Product 22,424,27.77,11775.1,5,2024
2024-06-01,Product 22,331,27.05,8953.83,6,2024
2024-07-01,Product 22,351,29.06,10201.3,7,2024
2024-08-01,Product 22,188,24.34,4576.77,8,2024
2024-09-01,Product 22,322,20.11,6476.56,9,2024
2024-10-01,Product 22,369,25.71,9488.74,10,2024
2024-11-01,Product 22,297,21.19,6292.89,11,2024
2024-12-01,Product 22,466,28.23,13154.2,12,2024
2024-01-01,Product 23,150,26.81,4021.56,1,2024
2024-02-01,Product 23,497,29.62,14722.0,2,2024
2024-03-01,Product 23,340,24.78,8424.23,3,2024
2024-04-01,Product 23,461,25.28,11655.79,4,2024
2024-05-01,Product 23,266,29.63,7882.17,5,2024
2024-06-01,Product 23,193,29.78,5747.35,6,2024
2024-07-01,Product 23,322,20.43,6578.97,7,2024
2024-08-01,Product 23,298,20.43,6089.33,8,2024
2024-09-01,Product 23,362,29.93,10834.53,9,2024
2024-10-01,Product 23,378,22.53,8516.3,10,2024
2024-11-01,Product 23,296,29.69,8789.14,11,2024
2024-12-01,Product 23,196,26.29,5153.62,12,2024
2024-01-01,Product 24,163,22.94,3740.03,1,2024
2024-02-01,Product 24,150,26.28,3941.34,2,2024
2024-03-01,Product 24,408,29.01,11836.72,3,2024
2024-04-01,Product 24,161,29.59,4763.51,4,2024
2024-05-01,Product 24,421,28.9,12168.01,5,2024
2024-06-01,Product 24,305,23.36,7123.76,6,2024
2024-07-01,Product 24,271,21.88,5929.81,7,2024
2024-08-01,Product 24,239,23.88,5707.96,8,2024
2024-09-01,Product 24,465,25.84,12014.0,9,2024
2024-10-01,Product 24,369,23.6,8709.67,10,2024
2024-11-01,Product 24,377,29.86,11258.01,11,2024
2024-12-01,Product 24,294,22.8,6702.5,12,2024
2024-01-01,Product 25,361,26.03,9396.04,1,2024
2024-02-01,Product 25,389,21.63,8412.58,2,2024
2024-03-01,Product 25,195,20.76,4048.59,3,2024
2024-04-01,Product 25,231,24.17,5582.44,4,2024
2024-05-01,Product 25,346,26.13,9042.42,5,2024
2024-06-01,Product 25,159,29.33,4663.04,6,2024
2024-07-01,Product 25,391,25.52,9976.71,7,2024
2024-08-01,Product 25,154,20.26,3120.61,8,2024
2024-09-01,Product 25,438,27.78,12165.9,9,2024
2024-10-01,Product 25,295,29.87,8812.46,10,2024
2024-11-01,Product 25,326,23.77,7748.17,11,2024
2024-12-01,Product 25,431,23.81,10261.64,12,2024
2024-01-01,Product 26,491,28.29,13891.2,1,2024
2024-02-01,Product 26,326,28.38,9252.95,2,2024
2024-03-01,Product 26,247,20.37,5030.95,3,2024
2024-04-01,Product 26,460,28.65,13177.72,4,2024
2024-05-01,Product 26,346,30.0,10379.02,5,2024
2024-06-01,Product 26,408,25.55,10426.16,6,2024
2024-07-01,Product 26,202,29.45,5948.43,7,2024
2024-08-01,Product 26,232,22.47,5213.85,8,2024
2024-09-01,Product 26,227,22.05,5005.45,9,2024
2024-10-01,Product 26,150,29.54,4431.08,10,2024
2024-11-01,Product 26,354,22.07,7813.59,11,2024
2024-12-01,Product 26,437,20.47,8944.94,12,2024
2024-01-01,Product 27,244,21.14,5157.08,1,2024
2024-02-01,Product 27,303,24.98,7569.44,2,2024
2024-03-01,Product 27,267,28.31,7559.76,3,2024
2024-04-01,Product 27,455,28.52,12977.43,4,2024
2024-05-01,Product 27,203,29.68,6024.99,5,2024
2024-06-01,Product 27,371,27.92,10357.64,6,2024
2024-07-01,Product 27,261,24.8,6472.92,7,2024
2024-08-01,Product 27,356,27.85,9913.42,8,2024
2024-09-01,Product 27,215,28.05,6030.85,9,2024
2024-10-01,Product 27,252,21.36,5383.66,10,2024
2024-11-01,Product 27,401,29.8,11951.66,11,2024
2024-12-01,Product 27,455,25.9,11784.13,12,2024
2024-01-01,Product 28,435,25.55,11113.45,1,2024
2024-02-01,Product 28,457,25.47,11641.83,2,2024
2024-03-01,Product 28,484,23.97,11599.27,3,2024
2024-04-01,Product 28,396,25.24,9993.47,4,2024
2024-05-01,Product 28,230,29.5,6783.9,5,2024
2024-06-01,Product 28,287,29.27,8399.31,6,2024
2024-07-01,Product 28,479,27.69,13263.12,7,2024
2024-08-01,Product 28,489,24.59,12025.17,8,2024
2024-09-01,Product 28,183,26.21,4796.07,9,2024
2024-10-01,Product 28,354,22.09,7820.32,10,2024
2024-11-01,Product 28,192,22.4,4301.08,11,2024
2024-12-01,Product 28,260,21.29,5535.09,12,2024
2024-01-01,Product 29,332,25.85,8581.42,1,2024
2024-02-01,Product 29,157,21.8,3422.71,2,2024
2024-03-01,Product 29,333,24.12,8030.83,3,2024
2024-04-01,Product 29,344,25.15,8652.41,4,2024
2024-05-01,Product 29,309,21.72,6712.47,5,2024
2024-06-01,Product 29,271,22.24,6026.63,6,2024
2024-07-01,Product 29,426,21.69,9239.66,7,2024
2024-08-01,Product 29,241,23.48,5657.76,8,2024
2024-09-01,Product 29,171,20.89,3571.68,9,2024
2024-10-01,Product 29,150,25.34,3801.64,10,2024
2024-11-01,Product 29,161,22.06,3552.2,11,2024
2024-12-01,Product 29,183,21.29,3895.61,12,2024
2024-01-01,Product 30,367,26.9,9873.75,1,2024
2024-02-01,Product 30,222,20.92,4644.89,2,2024
2024-03-01,Product 30,196,26.28,5150.68,3,2024
2024-04-01,Product 30,388,25.12,9745.23,4,2024
2024-05-01,Product 30,256,29.21,7477.43,5,2024
2024-06-01,Product 30,210,20.03,4205.45,6,2024
2024-07-01,Product 30,441,28.06,12375.35,7,2024
2024-08-01,Product 30,262,25.97,6804.87,8,2024
2024-09-01,Product 30,329,22.09,7268.76,9,2024
2024-10-01,Product 30,276,29.24,8070.36,10,2024
2024-11-01,Product 30,163,26.18,4267.76,11,2024
2024-12-01,Product 30,227,24.63,5589.95,12,2024
2024-01-01,Product 31,303,20.37,6171.15,1,2024
2024-02-01,Product 31,461,21.33,9833.67,2,2024
2024-03-01,Product 31,152,28.95,4400.71,3,2024
2024-04-01,Product 31,387,27.5,10641.01,4,2024
2024-05-01,Product 31,423,24.47,10352.55,5,2024
2024-06-01,Product 31,376,23.97,9013.34,6,2024
2024-07-01,Product 31,341,22.69,7738.12,7,2024
2024-08-01,Product 31,177,20.2,3575.53,8,2024
2024-09-01,Product 31,422,22.11,9332.31,9,2024
2024-10-01,Product 31,275,21.2,5829.35,10,2024
2024-11-01,Product 31,294,23.43,6888.2,11,2024
2024-12-01,Product 31,174,26.79,4661.64,12,2024
2024-01-01,Product 32,216,26.49,5721.46,1,2024
2024-02-01,Product 32,295,20.87,6156.41,2,2024
2024-03-01,Product 32,260,27.37,7115.74,3,2024
2024-04-01,Product 32,260,27.45,7138.14,4,2024
2024-05-01,Product 32,385,21.28,8191.18,5,2024
2024-06-01,Product 32,250,23.63,5907.71,6,2024
2024-07-01,Product 32,431,26.08,11238.56,7,2024
2024-08-01,Product 32,464,29.87,13857.43,8,2024
2024-09-01,Product 32,378,29.34,11089.36,9,2024
2024-10-01,Product 32,299,22.25,6653.75,10,2024
2024-11-01,Product 32,219,22.46,4918.65,11,2024
2024-12-01,Product 32,153,28.51,4361.75,12,2024
2024-01-01,Product 33,467,28.06,13103.39,1,2024
2024-02-01,Product 33,301,28.97,8719.26,2,2024
2024-03-01,Product 33,396,20.52,8124.48,3,2024
2024-04-01,Product 33,180,24.1,4338.71,4,2024
2024-05-01,Product 33,185,29.97,5544.92,5,2024
2024-06-01,Product 33,155,23.98,3716.68,6,2024
2024-07-01,Product 33,369,29.17,10765.19,7,2024
2024-08-01,Product 33,484,28.17,13634.63,8,2024
2024-09-01,Product 33,243,21.71,5275.26,9,2024
2024-10-01,Product 33,211,29.29,6180.98,10,2024
2024-11-01,Product 33,484,25.35,12269.58,11,2024
2024-12-01,Product 33,175,22.8,3989.96,12,2024
2024-01-01,Product 34,449,22.05,9900.8,1,2024
2024-02-01,Product 34,267,27.11,7238.24,2,2024
2024-03-01,Product 34,361,25.08,9052.47,3,2024
2024-04-01,Product 34,262,25.3,6628.18,4,2024
2024-05-01,Product 34,150,26.11,3915.93,5,2024
2024-06-01,Product 34,469,20.87,9789.39,6,2024
2024-07-01,Product 34,288,29.32,8444.2,7,2024
2024-08-01,Product 34,482,25.33,12207.08,8,2024
2024-09-01,Product 34,310,23.69,7344.61,9,2024
2024-10-01,Product 34,159,25.49,4052.28,10,2024
2024-11-01,Product 34,287,29.9,8581.19,11,2024
2024-12-01,Product 34,162,26.85,4349.01,12,2024
2024-01-01,Product 35,233,22.55,5253.31,1,2024
2024-02-01,Product 35,250,20.03,5006.78,2,2024
2024-03-01,Product 35,414,25.96,10745.94,3,2024
2024-04-01,Product 35,187,24.12,4510.14,4,2024
2024-05-01,Product 35,243,21.07,5119.28,5,2024
2024-06-01,Product 35,218,28.31,6170.75,6,2024
2024-07-01,Product 35,385,24.09,9272.8,7,2024
2024-08-01,Product 35,286,22.05,6306.31,8,2024
2024-09-01,Product 35,184,29.26,5384.67,9,2024
2024-10-01,Product 35,469,25.74,12074.28,10,2024
2024-11-01,Product 35,469,27.82,13045.3,11,2024
2024-12-01,Product 35,416,27.95,11628.31,12,2024
2024-01-01,Product 36,419,28.0,11730.06,1,2024
2024-02-01,Product 36,440,21.64,9522.77,2,2024
2024-03-01,Product 36,154,22.36,3442.97,3,2024
2024-04-01,Product 36,227,25.23,5727.36,4,2024
2024-05-01,Product 36,281,23.16,6508.51,5,2024
2024-06-01,Product 36,191,23.92,4569.57,6,2024
2024-07-01,Product 36,445,24.52,10911.17,7,2024
2024-08-01,Product 36,253,23.77,6013.67,8,2024
2024-09-01,Product 36,328,26.24,8607.05,9,2024
2024-10-01,Product 36,172,24.39,4194.64,10,2024
2024-11-01,Product 36,302,23.55,7113.19,11,2024
2024-12-01,Product 36,458,29.06,13311.64,12,2024
2024-01-01,Product 37,188,21.17,3979.77,1,2024
2024-02-01,Product 37,283,23.33,6601.87,2,2024
2024-03-01,Product 37,328,23.35,7658.49,3,2024
2024-04-01,Product 37,164,28.79,4720.95,4,2024
2024-05-01,Product 37,438,25.33,11096.56,5,2024
2024-06-01,Product 37,380,25.73,9777.97,6,2024
2024-07-01,Product 37,306,21.52,6584.13,7,2024
2024-08-01,Product 37,246,27.07,6659.17,8,2024
2024-09-01,Product 37,438,20.34,8906.87,9,2024
2024-10-01,Product 37,235,27.14,6378.05,10,2024
2024-11-01,Product 37,154,28.77,4430.22,11,2024
2024-12-01,Product 37,267,28.21,7532.76,12,2024
2024-01-01,Product 38,308,23.79,7326.77,1,2024
2024-02-01,Product 38,365,26.04,9504.45,2,2024
2024-03-01,Product 38,164,27.97,4587.56,3,2024
2024-04-01,Product 38,410,24.86,10194.07,4,2024
2024-05-01,Product 38,473,27.22,12876.25,5,2024
2024-06-01,Product 38,279,20.12,5614.05,6,2024
2024-07-01,Product 38,264,26.94,7112.02,7,2024
2024-08-01,Product 38,441,27.16,11978.35,8,2024
2024-09-01,Product 38,432,23.46,10133.41,9,2024
2024-10-01,Product 38,160,29.59,4734.52,10,2024
2024-11-01,Product 38,187,22.27,4165.15,11,2024
2024-12-01,Product 38,172,24.62,4234.65,12,2024
2024-01-01,Product 39,451,26.15,11793.43,1,2024
2024-02-01,Product 39,367,25.86,9491.46,2,2024
2024-03-01,Product 39,359,26.11,9375.12,3,2024
2024-04-01,Product 39,260,27.26,7087.85,4,2024
2024-05-01,Product 39,320,29.32,9382.78,5,2024
2024-06-01,Product 39,473,27.9,13197.1,6,2024
2024-07-01,Product 39,442,27.07,11965.99,7,2024
2024-08-01,Product 39,255,27.71,7066.68,8,2024
2024-09-01,Product 39,436,26.07,11365.28,9,2024
2024-10-01,Product 39,200,27.36,5472.89,10,2024
2024-11-01,Product 39,445,28.4,12639.96,11,2024
2024-12-01,Product 39,416,24.51,10195.49,12,2024
2024-01-01,Product 40,451,22.36,10083.94,1,2024
2024-02-01,Product 40,495,28.39,14052.55,2,2024
2024-03-01,Product 40,331,28.37,9392.09,3,2024
2024-04-01,Product 40,150,28.7,4304.84,4,2024
2024-05-01,Product 40,204,22.27,4543.89,5,2024
2024-06-01,Product 40,298,23.79,7090.33,6,2024
2024-07-01,Product 40,458,23.35,10695.2,7,2024
2024-08-01,Product 40,462,20.05,9261.4,8,2024
2024-09-01,Product 40,440,23.98,10551.94,9,2024
2024-10-01,Product 40,174,28.64,4982.52,10,2024
2024-11-01,Product 40,443,23.46,10394.31,11,2024
2024-12-01,Product 40,359,24.81,8906.2,12,2024
2024-01-01,Product 41,496,24.52,12163.0,1,2024
2024-02-01,Product 41,400,21.41,8563.43,2,2024
2024-03-01,Product 41,301,25.78,7758.67,3,2024
2024-04-01,Product 41,329,24.19,7958.26,4,2024
2024-05-01,Product 41,493,23.11,11395.56,5,2024
2024-06-01,Product 41,434,25.81,11199.75,6,2024
2024-07-01,Product 41,299,22.2,6638.09,7,2024
2024-08-01,Product 41,198,21.78,4312.51,8,2024
2024-09-01,Product 41,233,24.59,5729.44,9,2024
2024-10-01,Product 41,297,24.15,7171.43,10,2024
2024-11-01,Product 41,212,29.97,6353.37,11,2024
2024-12-01,Product 41,198,23.0,4553.2,12,2024
2024-01-01,Product 42,373,20.67,7710.2,1,2024
2024-02-01,Product 42,364,24.27,8833.51,2,2024
2024-03-01,Product 42,360,23.49,8457.79,3,2024
2024-04-01,Product 42,307,21.91,6725.41,4,2024
2024-05-01,Product 42,435,28.37,12339.06,5,2024
2024-06-01,Product 42,168,20.66,3470.39,6,2024
